GDP,GDP.total,State,HYTCB,year
137143,11321.246,AK,11224,1997
37880,11864.675,AK,11353,1998
163114,12359.095,AK,8351,1999
79164,12643.283,AK,10220,2000
1343127,12822.258,AK,13905,2001
175029,13031.169,AK,14643,2002
183342,13606.509,AK,16023,2003
74610,14099.081,AK,15004,2004
537176,14546.119,AK,14638,2005
314114,14726.022,AK,12137,2006
53108,14889.45,AK,12762,2007
35356,14375.018,AK,11547,2008
553662,14604.845,AK,12920,2009
222040,14881.301,AK,13982,2010
107893,15291.035,AK,13066,2011
98817,15491.878,AK,14988,2012
139389,15757.57,AK,13696,2013
180085,16349.97,AK,14633,2014
41367,16571.573,AK,14621,2015
216432,11321.246,AL,117660,1997
293755,11864.675,AL,107730,1998
386554,12359.095,AL,79350,1999
203067,12643.283,AL,59346,2000
78492,12822.258,AL,86346,2001
217476,13031.169,AL,89775,2002
26682,13606.509,AL,128232,2003
66393,14099.081,AL,106432,2004
84794,14546.119,AL,101436,2005
47050,14726.022,AL,71930,2006
408007,14889.45,AL,40881,2007
64422,14375.018,AL,60466,2008
915016,14604.845,AL,122345,2009
301144,14881.301,AL,84919,2010
20651,15291.035,AL,86313,2011
446980,15491.878,AL,70754,2012
109918,15757.57,AL,123071,2013
112239,16349.97,AL,90030,2014
473943,16571.573,AL,91902,2015
38989,11321.246,AR,35906,1997
131498,11864.675,AR,31781,1998
22910,12359.095,AR,27552,1999
202976,12643.283,AR,24181,2000
816575,12822.258,AR,26331,2001
75322,13031.169,AR,34953,2002
19545,13606.509,AR,26878,2003
294126,14099.081,AR,36493,2004
259637,14546.119,AR,30822,2005
55382,14726.022,AR,15380,2006
203610,14889.45,AR,31992,2007
22801,14375.018,AR,45923,2008
141672,14604.845,AR,40921,2009
36889,14881.301,AR,35697,2010
177319,15291.035,AR,28738,2011
80136,15491.878,AR,20921,2012
1421713,15757.57,AR,25329,2013
192216,16349.97,AR,25104,2014
189859,16571.573,AR,33261,2015
75778,11321.246,AZ,123060,1997
569488,11864.675,AZ,111863,1998
336066,12359.095,AZ,99794,1999
51723,12643.283,AZ,85221,2000
37144,12822.258,AZ,78774,2001
568418,13031.169,AZ,75557,2002
235591,13606.509,AZ,71634,2003
108526,14099.081,AZ,69843,2004
102346,14546.119,AZ,64094,2005
143394,14726.022,AZ,67379,2006
184356,14889.45,AZ,65211,2007
42674,14375.018,AZ,71795,2008
224832,14604.845,AZ,62731,2009
305814,14881.301,AZ,64606,2010
392288,15291.035,AZ,89135,2011
212772,15491.878,AZ,63918,2012
80537,15757.57,AZ,56432,2013
222481,16349.97,AZ,58185,2014
27924,16571.573,AZ,60906,2015
67545,11321.246,CA,419290,1997
89089,11864.675,CA,505243,1998
50072,12359.095,CA,416573,1999
417249,12643.283,CA,391043,2000
63999,12822.258,CA,263923,2001
938989,13031.169,CA,316794,2002
315199,13606.509,CA,368253,2003
21676,14099.081,CA,341956,2004
466789,14546.119,CA,396279,2005
111739,14726.022,CA,476582,2006
118195,14889.45,CA,270107,2007
488899,14375.018,CA,237755,2008
40360,14604.845,CA,272187,2009
136129,14881.301,CA,326152,2010
24204,15291.035,CA,413488,2011
213093,15491.878,CA,255384,2012
866952,15757.57,CA,226643,2013
80085,16349.97,CA,157213,2014
20122,16571.573,CA,128681,2015
308784,11321.246,CO,20751,1997
275275,11864.675,CO,14908,1998
56244,12359.095,CO,15978,1999
210292,12643.283,CO,14836,2000
23387,12822.258,CO,15445,2001
146666,13031.169,CO,12299,2002
36617,13606.509,CO,12780,2003
192410,14099.081,CO,11966,2004
84533,14546.119,CO,14152,2005
1525588,14726.022,CO,17767,2006
207243,14889.45,CO,17095,2007
195476,14375.018,CO,20096,2008
78951,14604.845,CO,18405,2009
597492,14881.301,CO,15398,2010
359468,15291.035,CO,20235,2011
52524,15491.878,CO,14247,2012
40719,15757.57,CO,11572,2013
589098,16349.97,CO,16831,2014
243138,16571.573,CO,15098,2015
110785,11321.246,CT,4562,1997
105007,11864.675,CT,4571,1998
148051,12359.095,CT,4315,1999
188210,12643.283,CT,5369,2000
44718,12822.258,CT,2959,2001
233863,13031.169,CT,3409,2002
322102,13606.509,CT,5715,2003
413344,14099.081,CT,4634,2004
220566,14546.119,CT,4782,2005
82752,14726.022,CT,5395,2006
228321,14889.45,CT,3590,2007
28177,14375.018,CT,5481,2008
68999,14604.845,CT,4973,2009
95801,14881.301,CT,3811,2010
51534,15291.035,CT,5513,2011
431110,15491.878,CT,2970,2012
67614,15757.57,CT,3835,2013
988849,16349.97,CT,4127,2014
332374,16571.573,CT,2819,2015
21718,11321.246,DE,0,1997
476231,11864.675,DE,0,1998
113580,12359.095,DE,0,1999
120662,12643.283,DE,0,2000
503011,12822.258,DE,0,2001
41651,13031.169,DE,0,2002
142007,13606.509,DE,0,2003
25195,14099.081,DE,0,2004
219514,14546.119,DE,0,2005
900960,14726.022,DE,0,2006
83918,14889.45,DE,0,2007
21216,14375.018,DE,0,2008
323570,14604.845,DE,0,2009
295582,14881.301,DE,0,2010
58355,15291.035,DE,0,2011
218921,15491.878,DE,0,2012
24284,15757.57,DE,0,2013
148188,16349.97,DE,0,2014
35909,16571.573,DE,0,2015
202215,11321.246,FL,2464,1997
85271,11864.675,FL,2024,1998
1638988,12359.095,FL,1433,1999
222942,12643.283,FL,885,2000
209329,12822.258,FL,1526,2001
79302,13031.169,FL,1873,2002
623599,13606.509,FL,2660,2003
373907,14099.081,FL,2657,2004
53710,14546.119,FL,2661,2005
45286,14726.022,FL,2018,2006
611079,14889.45,FL,1527,2007
251015,14375.018,FL,2031,2008
116421,14604.845,FL,2032,2009
107539,14881.301,FL,1731,2010
143791,15291.035,FL,1769,2011
181910,15491.878,FL,1432,2012
46618,15757.57,FL,2425,2013
242282,16349.97,FL,2010,2014
348183,16571.573,FL,2277,2015
420241,11321.246,GA,43708,1997
234732,11864.675,GA,53376,1998
83074,12359.095,GA,28134,1999
235057,12643.283,GA,25307,2000
28830,12822.258,GA,26829,2001
71571,13031.169,GA,27627,2002
100143,13606.509,GA,41920,2003
55125,14099.081,GA,36983,2004
452735,14546.119,GA,40317,2005
68793,14726.022,GA,25480,2006
1022817,14889.45,GA,22102,2007
340989,14375.018,GA,21133,2008
22514,14604.845,GA,31815,2009
484975,14881.301,GA,32407,2010
117500,15291.035,GA,26282,2011
130992,15491.878,GA,21281,2012
514175,15757.57,GA,35431,2013
43476,16349.97,GA,29142,2014
145153,16571.573,GA,27804,2015
26909,11321.246,HI,1178,1997
221830,11864.675,HI,1237,1998
930610,12359.095,HI,1175,1999
86850,12643.283,HI,1055,2000
22326,12822.258,HI,1041,2001
336195,13031.169,HI,967,2002
295895,13606.509,HI,916,2003
58084,14099.081,HI,941,2004
225228,14546.119,HI,962,2005
25118,14726.022,HI,1191,2006
148824,14889.45,HI,913,2007
37102,14375.018,HI,831,2008
206560,14604.845,HI,1099,2009
85283,14881.301,HI,687,2010
1627983,15291.035,HI,905,2011
226211,15491.878,HI,1090,2012
212395,15757.57,HI,747,2013
83072,16349.97,HI,895,2014
645193,16571.573,HI,1129,2015
378479,11321.246,IA,8221,1997
53669,11864.675,IA,9309,1998
44073,12359.095,IA,9670,1999
610054,12643.283,IA,9222,2000
245953,12822.258,IA,8733,2001
114313,13031.169,IA,9628,2002
107398,13606.509,IA,7985,2003
144407,14099.081,IA,9475,2004
184946,14546.119,IA,9594,2005
47564,14726.022,IA,9020,2006
251494,14889.45,IA,9512,2007
352601,14375.018,IA,8071,2008
408463,14604.845,IA,9479,2009
235075,14881.301,IA,9250,2010
82326,15291.035,IA,8991,2011
233240,15491.878,IA,7291,2012
29269,15757.57,IA,7147,2013
72624,16349.97,IA,8356,2014
102262,16571.573,IA,8948,2015
55920,11321.246,ID,149882,1997
458601,11864.675,ID,131904,1998
69448,12359.095,ID,138042,1999
1056708,12643.283,ID,111871,2000
348010,12822.258,ID,74637,2001
22967,13031.169,ID,89210,2002
477602,13606.509,ID,84585,2003
121910,14099.081,ID,84752,2004
128873,14546.119,ID,85413,2005
522191,14726.022,ID,111513,2006
44388,14889.45,ID,89170,2007
145941,14375.018,ID,92258,2008
27535,14604.845,ID,101838,2009
222160,14881.301,ID,89309,2010
954786,15291.035,ID,130241,2011
88719,15491.878,ID,104109,2012
23031,15757.57,ID,80845,2013
346918,16349.97,ID,85611,2014
289754,16571.573,ID,81603,2015
58120,11321.246,IL,992,1997
227508,11864.675,IL,1404,1998
26542,12359.095,IL,1453,1999
152630,12643.283,IL,1467,2000
38605,12822.258,IL,1488,2001
212195,13031.169,IL,1311,2002
87979,13606.509,IL,1402,2003
1669677,14099.081,IL,1538,2004
228429,14546.119,IL,1290,2005
211789,14726.022,IL,1719,2006
85221,14889.45,IL,1519,2007
671816,14375.018,IL,1365,2008
380923,14604.845,IL,1331,2009
55358,14881.301,IL,1157,2010
45087,15291.035,IL,1365,2011
612721,15491.878,IL,1058,2012
252205,15757.57,IL,1148,2013
117579,16349.97,IL,1258,2014
109000,16571.573,IL,1160,2015
147894,11321.246,IN,5736,1997
187788,11864.675,IN,4881,1998
48708,12359.095,IN,4162,1999
259585,12643.283,IN,6001,2000
354450,12822.258,IN,5897,2001
419731,13031.169,IN,4184,2002
240628,13606.509,IN,4293,2003
83061,14099.081,IN,4444,2004
235058,14546.119,IN,4382,2005
29949,14726.022,IN,4855,2006
73878,14889.45,IN,4447,2007
105404,14375.018,IN,4304,2008
57503,14604.845,IN,4914,2009
469048,14881.301,IN,4426,2010
71283,15291.035,IN,3972,2011
1053325,15491.878,IN,4125,2012
353393,15757.57,IN,3692,2013
24182,16349.97,IN,3530,2014
488461,16571.573,IN,3553,2015
123221,11321.246,KS,142,1997
132346,11864.675,KS,117,1998
527231,12359.095,KS,126,1999
45881,12643.283,KS,156,2000
149281,12822.258,KS,264,2001
30448,13031.169,KS,130,2002
229019,13606.509,KS,126,2003
968721,14099.081,KS,126,2004
90119,14546.119,KS,113,2005
23719,14726.022,KS,96,2006
349495,14889.45,KS,104,2007
295688,14375.018,KS,104,2008
58687,14604.845,KS,125,2009
232477,14881.301,KS,129,2010
26961,15291.035,KS,143,2011
156970,15491.878,KS,99,2012
38262,15757.57,KS,139,2013
224650,16349.97,KS,154,2014
91767,16571.573,KS,177,2015
1745049,11321.246,KY,34522,1997
229800,11864.675,KY,31774,1998
214003,12359.095,KY,26144,1999
86767,12643.283,KY,23713,2000
696876,12822.258,KY,39839,2001
391928,13031.169,KY,40944,2002
58100,13606.509,KY,39974,2003
46401,14099.081,KY,37863,2004
621458,14546.119,KY,29609,2005
260871,14726.022,KY,25707,2006
122580,14889.45,KY,16492,2007
111492,14375.018,KY,18895,2008
151226,14604.845,KY,32380,2009
195646,14881.301,KY,25173,2010
49825,15291.035,KY,28850,2011
266410,15491.878,KY,22475,2012
362104,15757.57,KY,31249,2013
427565,16349.97,KY,29895,2014
251512,16571.573,KY,31717,2015
86448,11321.246,LA,10580,1997
240041,11864.675,LA,10838,1998
31128,12359.095,LA,8199,1999
78072,12643.283,LA,5430,2000
110803,12822.258,LA,7566,2001
59667,13031.169,LA,9069,2002
480793,13606.509,LA,9031,2003
74311,14099.081,LA,11006,2004
1049993,14546.119,LA,8109,2005
361078,14726.022,LA,7074,2006
25689,14889.45,LA,8171,2007
496785,14375.018,LA,10488,2008
125407,14604.845,LA,12067,2009
137886,14881.301,LA,10817,2010
538948,15291.035,LA,10144,2011
47809,15491.878,LA,6470,2012
154734,15757.57,LA,9966,2013
31244,16349.97,LA,10366,2014
236620,16571.573,LA,9310,2015
976634,11321.246,MA,10537,1997
92268,11864.675,MA,10500,1998
24644,12359.095,MA,9966,1999
362386,12643.283,MA,10866,2000
300010,12822.258,MA,7259,2001
58711,13031.169,MA,8902,2002
238716,13606.509,MA,10886,2003
27655,14099.081,MA,9999,2004
166286,14546.119,MA,10418,2005
39648,14726.022,MA,15004,2006
232105,14889.45,MA,7882,2007
96064,14375.018,MA,11389,2008
1832792,14604.845,MA,11723,2009
229129,14881.301,MA,9720,2010
227364,15291.035,MA,11161,2011
90878,15491.878,MA,8683,2012
726845,15757.57,MA,9460,2013
408639,16349.97,MA,8579,2014
61606,16571.573,MA,7709,2015
48247,11321.246,MD,16222,1997
635518,11864.675,MD,17740,1998
268914,12359.095,MD,14564,1999
131746,12643.283,MD,17674,2000
111419,12822.258,MD,12229,2001
155326,13031.169,MD,16897,2002
203511,13606.509,MD,26801,2003
51351,14099.081,MD,25115,2004
280380,14546.119,MD,17035,2005
369983,14726.022,MD,20872,2006
426182,14889.45,MD,16331,2007
260777,14375.018,MD,19453,2008
88142,14604.845,MD,18434,2009
245100,14881.301,MD,16267,2010
32429,15291.035,MD,24748,2011
79575,15491.878,MD,15764,2012
122731,15757.57,MD,16477,2013
61244,16349.97,MD,15364,2014
485791,16571.573,MD,15127,2015
79119,11321.246,ME,37256,1997
1078573,11864.675,ME,37892,1998
375195,12359.095,ME,38408,1999
25852,12643.283,ME,36630,2000
508865,12822.258,ME,27332,2001
129144,13031.169,ME,28157,2002
150617,13606.509,ME,32123,2003
553326,14099.081,ME,34357,2004
49763,14546.119,ME,40905,2005
156328,14726.022,ME,42435,2006
32392,14889.45,ME,36948,2007
246938,14375.018,ME,43923,2008
1023202,14604.845,ME,41106,2009
96277,14881.301,ME,37174,2010
25519,15291.035,ME,38660,2011
376770,15491.878,ME,35519,2012
305266,15757.57,ME,33970,2013
59692,16349.97,ME,34457,2014
245125,16571.573,ME,31317,2015
28433,11321.246,MI,17489,1997
171723,11864.675,MI,14246,1998
40767,12359.095,MI,14913,1999
251185,12643.283,MI,14564,2000
99144,12822.258,MI,16139,2001
1910337,13031.169,MI,16981,2002
238417,13606.509,MI,14031,2003
231573,14099.081,MI,15420,2004
92500,14546.119,MI,14616,2005
773024,14726.022,MI,15080,2006
424964,14889.45,MI,12553,2007
64824,14375.018,MI,13445,2008
51266,14604.845,MI,13390,2009
646092,14881.301,MI,12200,2010
268886,15291.035,MI,13188,2011
135042,15491.878,MI,11484,2012
114578,15757.57,MI,13539,2013
159800,16349.97,MI,15216,2014
215120,16571.573,MI,13971,2015
51381,11321.246,MN,10567,1997
290581,11864.675,MN,9734,1998
376358,12359.095,MN,12056,1999
431383,12643.283,MN,9501,2000
267476,12822.258,MN,8593,2001
89539,13031.169,MN,8231,2002
247860,13606.509,MN,8248,2003
33957,14099.081,MN,7395,2004
81139,14546.119,MN,7747,2005
133258,14726.022,MN,5671,2006
62791,14889.45,MN,6462,2007
491152,14375.018,MN,7164,2008
79596,14604.845,MN,7897,2009
1119304,14881.301,MN,8199,2010
392112,15291.035,MN,7250,2011
26666,15491.878,MN,5339,2012
512223,15757.57,MN,4877,2013
133649,16349.97,MN,5216,2014
153771,16571.573,MN,7912,2015
560689,11321.246,MO,16272,1997
50380,11864.675,MO,23928,1998
159689,12359.095,MO,18949,1999
33162,12643.283,MO,6120,2000
250834,12822.258,MO,11409,2001
1047014,13031.169,MO,13804,2002
102382,13606.509,MO,6606,2003
25835,14099.081,MO,14823,2004
396319,14546.119,MO,11592,2005
325105,14726.022,MO,1976,2006
61219,14889.45,MO,11904,2007
250305,14375.018,MO,20169,2008
29637,14604.845,MO,17731,2009
174675,14881.301,MO,15018,2010
43455,15291.035,MO,11515,2011
265798,15491.878,MO,6797,2012
101028,15757.57,MO,10843,2013
1975457,16349.97,MO,6632,2014
243172,16571.573,MO,14864,2015
237280,11321.246,MS,0,1997
93801,11864.675,MS,0,1998
797997,12359.095,MS,0,1999
430438,12643.283,MS,0,2000
66313,12822.258,MS,0,2001
54240,13031.169,MS,0,2002
663632,13606.509,MS,0,2003
274074,14099.081,MS,0,2004
136928,14546.119,MS,0,2005
120445,14726.022,MS,0,2006
163941,14889.45,MS,0,2007
211535,14375.018,MS,0,2008
52002,14604.845,MS,0,2009
296547,14881.301,MS,0,2010
382718,15291.035,MS,0,2011
423582,15491.878,MS,0,2012
266429,15757.57,MS,0,2013
91544,16349.97,MS,0,2014
250021,16571.573,MS,0,2015
35030,11321.246,MT,136921,1997
83415,11864.675,MT,113370,1998
138235,12359.095,MT,141344,1999
